ano;mes;pm2.5_atm;humidity;temperature;pressure
2020;1;10.9135;55.554;94.933;1007.338
2020;2;9.3185;53.022;95.785;1008.093
2020;3;7.2835;57.548;92.588;1007.281
2020;4;3.9405;61.333;90.981;1008.837
2020;5;4.591;61.571;91.215;1009.252
2020;6;6.568499999999999;42.4395;83.5595;934.2185
2020;7;13.855;52.455;93.866;1008.128
2020;8;30.5825;48.213;95.445;1007.865
2020;9;26.13475;50.3515;92.7135;1006.3605
2020;10;23.9865;54.936;91.422;1006.0535
2020;11;10.91375;57.206;90.719;1005.4770000000001
2020;12;9.692499999999999;57.166;90.00450000000001;1005.828
2021;1;5.875;60.8795;88.3115;1005.9605
2021;2;27.022000000000002;44.86066666666667;83.62833333333333;960.1863333333332
2021;3;4.7355;61.413;87.72;1006.527
2021;4;5.50375;59.19;90.0475;1006.1514999999999
2021;5;11.756666666666666;57.604000000000006;89.79899999999999;1006.2923333333333
2021;6;10.377166666666666;57.580999999999996;89.29733333333333;1007.4773333333333
2021;7;13.082166666666666;55.34133333333333;89.36200000000001;1008.5876666666667
2021;8;17.5;52.16133333333334;91.87566666666667;1006.6039999999999
2021;9;14.3815;52.97966666666667;91.94966666666666;1006.4780000000001
2021;10;18.11925;52.831;92.7425;1005.655
2021;11;9.98275;57.847;90.7575;1005.06
2021;12;7.63;60.823;89.82900000000001;1004.8254999999999
2022;1;7.2780000000000005;56.564499999999995;90.27250000000001;1006.1185
2022;2;5.71075;60.3985;88.5515;1005.932
2022;3;4.7315000000000005;61.6635;88.0795;1005.828
2022;4;5.8575;61.2735;88.912;1005.845
2022;5;7.832;57.533;89.8455;1007.557
2022;6;8.062750000000001;57.817499999999995;89.1575;1007.373
2022;7;13.8005;51.485;92.22550000000001;1006.9100000000001
2022;8;28.739833333333333;49.909;92.847;1006.1403333333334
2022;9;32.6945;48.76733333333333;93.92633333333333;1005.1963333333333
2022;10;26.647;50.8835;93.3845;1005.08
2022;11;18.118000000000002;51.4385;93.3485;1005.2995
2022;12;10.16875;58.698499999999996;90.1235;1005.5350000000001
2023;1;6.792999999999999;59.1115;89.064;1006.432
2023;2;3.83175;59.697;89.256;1006.2385
2023;3;5.146625;58.0145;89.76125;1006.89625
2023;4;4.856277777777779;58.624222222222215;90.05266666666665;1003.4102777777779
2023;5;5.487222222222222;58.40416666666667;90.54472222222222;1005.4487222222223
2023;6;9.07795;54.330949999999994;91.64359999999999;1006.02955
2023;7;14.7505;47.93333333333333;94.18005555555555;1005.6852777777777
2023;8;22.723750000000003;45.34325;96.0949;1003.78785
2023;9;38.29795454545455;44.58409090909091;96.79436363636364;1003.6543181818182
2023;10;59.329;43.25533333333333;96.59833333333334;1002.2511666666666
2023;11;49.072192307692305;48.50184615384615;95.69761538461537;1002.1557307692308
