year;areakm;municipality;geocode_ibge;state
2008;2.9602596727685677;Manaus;1302603;Amazonas
2009;3.683645907131995;Manaus;1302603;Amazonas
2010;10.30713318916936;Manaus;1302603;Amazonas
2011;2.1893917176725513;Manaus;1302603;Amazonas
2012;3.8899288252321766;Manaus;1302603;Amazonas
2013;2.313866202705228;Manaus;1302603;Amazonas
2014;2.279391955143299;Manaus;1302603;Amazonas
2015;1.800664106821639;Manaus;1302603;Amazonas
2016;1.2148133306421771;Manaus;1302603;Amazonas
2017;1.9775483456466258;Manaus;1302603;Amazonas
2018;0.999880220846964;Manaus;1302603;Amazonas
2019;4.634608364806876;Manaus;1302603;Amazonas
2020;6.705680971024825;Manaus;1302603;Amazonas
2021;5.657675242822174;Manaus;1302603;Amazonas
2022;3.6730696418795614;Manaus;1302603;Amazonas
2023;3.4215590150720074;Manaus;1302603;Amazonas
2024;10.93009579847728;Manaus;1302603;Amazonas
